"Participant","Recruitment","Condition","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Reward","Gender","Age","Education","Discipline","Student","Ethnicity","Country","Experiment_Enjoyment","Experiment_Feedback","Accuracy_Respiratory_A","Accuracy_Gastric_Q8","Accuracy_ColonBladder_Q1","Accuracy_Respiratory_Q1","Accuracy_State_Q3","Accuracy_Genital_A","Accuracy_Cardiac_Q1","Accuracy_Gastric_Q2","Accuracy_ColonBladder_Q3","Accuracy_ColonBladder_Q5","Accuracy_Gastric_Q5","Accuracy_State_Q4","Accuracy_ColonBladder_Q2","Accuracy_Gastric_Q1","Accuracy_ColonBladder_Q4","Accuracy_Gastric_Q6","Accuracy_SkinThermo_Q2","Accuracy_SkinThermo_Q1","Accuracy_State_Q5","Accuracy_Cardiac_Q2","Accuracy_SkinThermo_Q3","Accuracy_Genital_Q2","Accuracy_Gastric_Q4","Accuracy_Genital_Q1","Accuracy_Gastric_Q7","Accuracy_Gastric_Q3","Accuracy_State_Q1","Accuracy_SkinThermo_Q4","Accuracy_State_Q2","Sexual_ColonBladder_Q2","Sexual_State_Q3","Sexual_State_Q5","Sexual_State_A","Sexual_State_Q4","Sexual_SkinThermo_Q3","Sexual_Genital_Q2","Sexual_Gastric_Q2","Sexual_Respiratory_Q1","Sexual_Cardiac_Q1","Sexual_SkinThermo_Q2","Sexual_State_Q1","Sexual_Gastric_Q1","Sexual_SkinThermo_Q1","Sexual_Genital_Q1","Sexual_ColonBladder_Q1","Sexual_State_Q2","Nociception_ColonBladder_Q1","Nociception_ColonBladder_Q2","Nociception_State_Q2","Nociception_SkinThermo_Q1","Nociception_Cardiac_Q1","Nociception_Respiratory_Q1","Nociception_Respiratory_Q2","Nociception_ColonBladder_A","Nociception_SkinThermo_Q2","Nociception_Gastric_Q1","Nociception_Genital_Q2","Nociception_Genital_Q1","Nociception_SkinThermo_Q3","Nociception_Cardiac_Q2","Nociception_State_Q1","Confusion_ColonBladder_A","Confusion_Gastric_Q1","Confusion_State_Q1","Confusion_Respiratory_Q1","Confusion_ColonBladder_Q1","Confusion_Gastric_Q2","Confusion_Genital_Q1","Confusion_Cardiac_Q1","Confusion_SkinThermo_Q1","Confusion_State_Q2","Anxious_Cardiac_Q1","Anxious_State_Q5","Anxious_Genital_Q1","Anxious_State_Q1","Anxious_ColonBladder_Q1","Anxious_State_Q4","Anxious_SkinThermo_A","Anxious_State_Q3","Anxious_SkinThermo_Q1","Anxious_SkinThermo_Q4","Anxious_SkinThermo_Q3","Anxious_State_Q2","Anxious_Respiratory_Q1","Anxious_Gastric_Q1","Anxious_SkinThermo_Q2","Sensitivity_State_Q1","Sensitivity_SkinThermo_Q6","Sensitivity_SkinThermo_Q1","Sensitivity_Gastric_A","Sensitivity_Respiratory_Q7","Sensitivity_Cardiac_Q6","Sensitivity_Respiratory_Q5","Sensitivity_State_Q3","Sensitivity_Respiratory_Q1","Sensitivity_Cardiac_Q4","Sensitivity_Cardiac_Q5","Sensitivity_Cardiac_Q7","Sensitivity_Genital_Q2","Sensitivity_Gastric_Q2","Sensitivity_ColonBladder_Q3","Sensitivity_Respiratory_Q6","Sensitivity_SkinThermo_Q3","Sensitivity_Cardiac_Q3","Sensitivity_Gastric_Q1","Sensitivity_Respiratory_Q3","Sensitivity_Cardiac_A","Sensitivity_Respiratory_Q4","Sensitivity_Gastric_Q4","Sensitivity_SkinThermo_Q7","Sensitivity_Gastric_Q5","Sensitivity_State_Q4","Sensitivity_Genital_Q3","Sensitivity_Gastric_Q3","Sensitivity_Genital_Q1","Sensitivity_Cardiac_Q1","Sensitivity_ColonBladder_Q1","Sensitivity_SkinThermo_Q8","Sensitivity_ColonBladder_Q4","Sensitivity_State_Q2","Sensitivity_SkinThermo_Q4","Sensitivity_Cardiac_Q2","Sensitivity_State_Q5","Sensitivity_SkinThermo_Q2","Sensitivity_SkinThermo_Q5","Sensitivity_Gastric_Q6","Sensitivity_Respiratory_Q2","Sensitivity_ColonBladder_Q2"
"S264","prolific","Random","2024-11-19 20:31:21",13.35245,"firefox 132.0.0","false","Windows 10",2560,1251,"Automatic","Male",34,"Bachelor","Business, Economics",FALSE,"White","United Kingdom",3,NA,0,3,3,4,6,0,5,5,0,4,4,5,4,5,2,4,5,4,3,4,4,4,5,4,5,2,5,3,5,0,4,5,6,5,1,6,4,4,4,3,5,0,2,5,0,5,5,1,5,4,0,1,1,0,4,1,5,5,6,0,3,6,3,3,2,0,3,4,6,5,4,5,2,3,4,3,5,0,5,3,2,1,4,5,2,6,4,2,3,6,5,1,3,3,5,4,2,5,3,4,4,3,5,3,2,3,6,2,3,5,3,5,4,3,4,5,5,4,0,2,5,4,5,3,4,3,3,6
"S273","prolific","Domains","2024-11-19 20:50:17",22.2936666666667,"chrome 131.0.0","false","Windows 10",1536,730,"Automatic","Male",38,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,4,0,4,6,0,0,5,1,0,5,4,6,4,4,1,3,4,3,0,5,0,6,6,5,1,4,0,1,0,4,4,6,6,0,6,2,2,2,3,6,0,1,6,0,6,2,0,3,3,0,0,0,0,1,0,2,6,3,0,3,6,1,0,0,1,3,5,0,0,0,1,0,0,3,0,6,0,4,5,0,1,2,0,1,5,3,0,0,6,2,0,3,3,0,1,3,1,5,1,5,4,2,1,1,0,6,1,2,0,4,4,6,2,6,1,4,5,2,2,3,0,4,4,5,4,1,5
"S049","prolific","Dimensions","2024-11-19 09:37:06",6.7289,"chrome 129.0.0","false","Mac OS",1655,875,"Automatic","Male",39,"High school",NA,FALSE,"White","United Kingdom",NA,NA,0,3,1,4,4,0,4,4,2,1,2,4,3,4,1,3,4,3,4,0,4,3,3,6,3,1,4,3,3,0,3,4,6,5,1,5,1,4,4,3,5,1,3,5,0,6,0,0,5,5,0,0,0,0,5,1,4,5,3,1,2,6,4,0,1,0,4,1,0,2,1,4,1,0,5,0,5,0,0,4,4,4,4,3,2,3,3,2,4,6,3,1,0,4,4,4,0,3,5,4,4,3,4,2,4,4,6,4,4,5,1,5,5,4,4,2,4,5,4,4,5,3,3,5,4,5,1,2
"S440","prolific","Dimensions","2024-11-21 15:45:47",19.5398166666667,"chrome 131.0.0","false","Windows 10",1536,730,"Automatic","Male",29,"College (NVQ level 3)",NA,NA,"White","United Kingdom",2,"Smooth study, no issues :)",0,1,2,5,6,0,3,5,0,4,4,5,3,6,3,3,4,5,5,4,6,6,4,6,0,1,5,1,5,0,2,4,6,5,0,3,0,1,1,0,5,0,1,4,0,5,3,1,5,4,1,2,0,0,5,1,3,2,3,2,4,6,2,1,5,1,2,4,2,4,3,2,0,1,6,4,5,0,2,3,0,0,6,3,4,4,5,3,4,6,2,4,4,4,4,3,4,2,4,4,5,2,6,3,4,5,6,4,5,5,4,5,4,4,4,4,3,4,3,5,6,3,4,5,5,5,3,3
"S118","prolific","Random","2024-11-19 11:47:00",12.46525,"chrome 130.0.0","false","Windows 10",1536,747,"Automatic","Female",51,"Associate's Degree",NA,NA,"White","United States",4,NA,0,0,1,6,6,0,6,6,0,6,0,6,1,6,0,5,6,1,5,0,6,0,2,6,1,3,6,0,6,0,5,6,6,5,0,6,0,5,5,0,6,0,5,6,0,6,0,0,6,5,1,0,0,0,6,0,6,6,5,0,5,6,0,0,0,0,0,0,1,1,0,6,0,0,6,0,5,0,4,5,0,0,6,6,4,5,6,0,6,6,6,3,0,6,5,5,0,5,6,6,5,0,3,6,3,5,6,4,5,5,0,6,3,3,4,4,6,6,5,5,6,6,6,6,0,6,6,6
"S012","prolific","Domains","2024-11-18 20:11:09",11.161,"edge-chromium 130.0.0","false","Windows 10",1432,684,"Automatic","Female",24,"Bachelor","Psychology, Neuroscience",TRUE,"White","United Kingdom",NA,NA,0,2,4,4,3,0,3,3,2,2,5,4,2,2,2,1,5,4,2,5,4,4,6,2,2,1,3,5,3,1,2,4,6,4,3,4,3,4,4,4,3,3,5,4,1,4,4,1,4,4,3,2,2,0,2,3,2,2,2,4,3,6,4,2,3,2,1,2,4,4,4,5,2,1,3,1,4,0,1,5,3,4,3,3,4,5,4,3,2,6,4,2,4,4,2,3,3,4,2,4,4,4,4,4,3,4,6,2,2,2,2,5,1,3,2,4,1,5,5,4,5,3,4,3,3,2,3,2
"S196","prolific","Random","2024-11-19 16:05:31",7.26493333333333,"edge-chromium 130.0.0","false","Windows 10",918,639,"Automatic","Male",40,"Master","Business, Economics",FALSE,"Middle Eastern/North African","United States",0,NA,0,0,3,0,0,0,1,2,0,0,0,2,0,1,0,0,1,2,4,0,5,0,0,1,0,0,0,0,1,0,0,0,6,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,3,0,1,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,6,0,0,2,1,2,0,0,0,0,0,0,0,0,5,0,1,0,1,1,0,0
"S116","prolific","Domains","2024-11-19 11:45:09",13.9458833333333,"chrome 131.0.0","false","Windows 10",1920,911,"Automatic","Male",52,"Bachelor","Engineering, Computer Science",FALSE,"East Asian","United States",4,"None",0,3,5,1,6,0,2,3,4,4,4,6,1,6,2,0,5,2,5,1,5,1,0,6,2,6,5,2,4,1,5,6,6,6,4,6,0,5,5,5,6,0,1,6,5,6,5,0,5,5,4,0,1,0,5,1,6,4,4,1,6,6,1,0,0,4,1,4,4,5,1,0,0,0,5,5,4,0,4,0,1,4,1,0,1,4,5,2,3,6,3,1,5,6,0,1,5,5,4,0,5,1,4,0,1,1,6,1,6,6,2,6,2,0,6,1,3,6,0,5,5,4,3,5,1,1,1,5
"S205","prolific","Domains","2024-11-19 16:36:52",11.9098666666667,"chrome 131.0.0","false","Windows 10",1366,599,"Automatic","Female",49,"High school",NA,FALSE,"White","United States",4,NA,0,4,0,0,6,0,0,6,0,1,5,6,5,3,4,2,0,5,4,0,6,4,1,6,0,5,0,5,6,0,3,6,6,6,2,6,5,2,5,6,6,0,3,6,4,6,0,0,6,6,0,0,0,0,6,4,6,6,3,0,4,6,1,3,0,1,0,0,2,3,4,6,0,0,6,0,6,0,6,0,5,5,6,5,2,6,1,6,5,6,5,0,1,0,0,1,6,6,4,5,4,3,1,0,6,0,6,0,0,6,0,6,0,6,3,1,0,6,3,2,6,0,6,6,0,4,1,1
"S097","prolific","Domains","2024-11-19 11:19:10",13.7801833333333,"edge-chromium 131.0.0","false","Windows 10",1528,738,"Automatic","Female",37,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,5,4,5,6,0,5,5,0,4,3,5,1,4,4,5,5,4,6,0,2,0,6,4,1,1,3,4,5,1,5,4,6,5,0,4,2,3,4,1,5,0,0,5,0,5,4,0,4,3,3,2,2,0,6,1,4,4,4,4,5,6,5,1,0,0,5,2,1,1,1,4,2,0,3,3,5,0,2,2,0,0,3,2,2,2,4,2,5,6,0,1,2,2,3,2,3,2,5,4,4,4,4,1,4,2,6,1,3,5,2,6,1,1,5,5,5,5,4,4,4,3,2,6,5,5,3,3
"S091","prolific","Domains","2024-11-19 11:05:58",10.1113333333333,"chrome 131.0.0","false","Windows 10",1536,703,"Automatic","Female",59,"High school",NA,FALSE,"White","United Kingdom",4,"it said thirty minutes but didnt take that long, hope it was ok, the study was interesting and the way the questions were poised was clever, was a good study to do. ",0,5,3,3,4,0,3,4,2,4,3,4,2,4,2,5,2,2,3,2,3,1,4,3,2,1,4,3,5,4,2,3,6,5,2,3,4,4,4,3,3,2,3,4,5,3,0,1,4,4,1,1,1,0,2,4,1,2,2,1,3,6,3,2,1,3,5,2,1,5,4,4,1,1,3,2,4,0,2,1,1,1,3,3,4,3,4,1,4,6,2,2,5,4,2,1,5,3,2,3,6,1,3,1,5,2,6,1,4,5,4,4,1,4,2,2,4,5,1,4,5,2,3,2,1,5,2,4
"S051","prolific","Domains","2024-11-19 09:37:12",15.408,"edge-chromium 131.0.0","false","Windows 10",1528,712,"Automatic","Female",35,"Master","Political Science, Law",FALSE,"Black","United Kingdom",3,NA,0,0,0,4,5,0,2,5,0,5,3,6,5,5,5,1,5,2,5,1,6,5,5,5,0,1,2,4,6,3,3,4,6,4,1,3,1,2,1,4,5,1,1,5,4,5,5,0,6,5,1,4,6,0,4,0,5,5,4,3,4,6,1,3,3,0,1,0,0,3,3,1,0,0,5,0,5,0,5,1,0,0,2,0,1,1,5,3,3,6,1,2,2,3,1,0,3,2,2,3,4,5,4,1,2,2,6,1,3,5,1,5,2,1,3,2,5,2,2,5,6,1,3,3,3,2,3,5
"S018","prolific","Random","2024-11-18 21:57:44",18.4471,"chrome 131.0.0","false","Windows 10",1050,1565,"Automatic","Male",18,"High school",NA,TRUE,"White","United Kingdom",4,NA,0,2,2,1,5,0,2,2,2,4,2,1,2,2,2,5,2,2,4,4,5,4,3,5,1,2,4,0,4,2,2,3,6,4,2,6,5,2,4,5,5,4,4,5,2,5,4,2,3,5,2,0,2,0,4,2,5,4,2,1,5,6,4,2,4,2,1,2,2,4,3,4,2,1,4,1,5,0,3,3,3,2,2,2,4,2,4,4,4,6,2,4,4,2,2,2,5,3,3,2,3,5,2,3,3,2,6,2,1,4,2,5,2,2,4,2,4,4,3,4,5,2,3,3,3,4,2,5
"S281","prolific","Domains","2024-11-19 20:52:00",21.4981666666667,"chrome 129.0.0","false","Windows 10",1920,953,"Automatic","Male",40,"Master","Engineering, Computer Science",FALSE,"White","United Kingdom",4,"Enjoyable study. Thank you for the opportunity to be apart of your work.",0,3,5,4,2,0,3,3,1,3,6,4,3,5,5,5,3,2,4,4,3,3,4,3,1,1,5,1,3,0,5,5,6,4,0,6,4,4,6,5,6,0,5,4,0,5,5,0,5,3,0,0,1,0,2,2,5,4,2,0,0,6,2,3,4,2,4,1,3,5,5,5,4,3,4,3,2,0,2,4,3,4,4,2,4,4,4,2,3,6,4,1,3,4,3,4,6,3,4,2,5,4,4,3,3,4,6,4,0,1,1,4,4,3,4,4,3,5,4,3,6,5,5,3,2,1,2,6
"S299","prolific","Dimensions","2024-11-19 21:36:42",17.9120666666667,"chrome 130.0.0","false","Windows 10",1536,695,"Automatic","Female",28,"High school",NA,FALSE,"White","United Kingdom",4,"This was enjoyable!  Thank you for this :)",0,5,1,4,6,0,5,5,6,1,2,3,6,5,6,6,3,0,2,2,4,5,6,6,2,6,4,3,4,0,2,6,6,6,2,5,4,5,3,4,6,1,4,6,0,6,6,1,5,6,4,2,6,0,4,6,6,5,2,3,4,6,6,3,4,3,6,1,6,4,2,6,4,1,5,2,6,0,4,6,1,6,6,3,6,6,6,5,6,6,3,6,3,4,3,6,3,6,5,4,6,4,6,6,6,3,6,3,6,5,6,6,3,3,3,6,6,6,6,6,6,6,6,3,4,6,4,6
"S346","prolific","Dimensions","2024-11-20 13:03:14",9.23693333333333,"safari 16.5.0","false","Mac OS",834,1092,"Automatic","Male",28,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,4,3,5,5,0,5,5,3,6,6,6,0,6,3,4,5,4,6,0,6,4,2,6,6,4,6,6,6,0,5,6,6,6,3,6,6,6,6,3,6,0,6,6,0,6,6,4,6,5,0,0,0,0,5,1,6,4,6,4,6,6,3,2,0,0,3,6,0,3,2,2,0,0,6,0,6,0,3,3,0,5,3,1,0,3,6,5,3,6,2,3,0,1,0,3,1,4,4,5,5,0,4,0,5,0,6,0,5,5,6,6,6,5,5,3,6,5,6,5,4,2,4,5,5,4,0,6
"S194","prolific","Random","2024-11-19 15:55:28",11.7686166666667,"chrome 131.0.0","true","Android OS",980,1666,"Automatic","Female",43,"Bachelor","Medicine",FALSE,"White","United States",NA,NA,0,3,3,5,5,0,3,5,0,2,2,5,1,3,4,2,4,4,4,2,5,2,2,5,1,3,4,2,5,1,3,5,6,5,1,4,4,5,4,2,5,4,3,5,1,5,3,1,5,5,1,2,2,0,4,2,4,3,5,1,4,6,0,2,1,1,1,1,1,3,1,5,0,0,5,3,5,0,4,2,1,2,5,4,5,3,5,3,4,6,4,1,2,3,4,4,2,3,3,3,2,2,3,3,4,5,6,4,1,3,1,5,4,4,3,3,5,1,1,4,5,3,3,4,1,4,3,5
"S421","prolific","Dimensions","2024-11-21 14:41:40",15.2652666666667,"chrome 131.0.0","false","Mac OS",1512,743,"Automatic","Female",22,"Bachelor","public health",TRUE,"White","United Kingdom",4,NA,0,3,6,3,6,0,4,4,4,5,5,4,3,3,5,4,3,3,4,4,5,5,3,3,3,2,4,4,5,6,2,3,6,6,5,5,4,4,4,4,4,3,3,6,5,4,4,0,4,5,3,3,2,0,4,4,6,4,3,3,3,6,4,3,4,4,4,4,4,4,4,6,0,4,4,5,5,0,2,5,3,6,5,4,3,4,3,4,5,6,3,3,4,2,4,2,4,3,3,4,4,4,4,2,3,4,6,2,3,4,4,6,3,3,3,3,3,6,4,3,4,3,3,3,3,4,4,5
"S021","prolific","Random","2024-11-18 23:38:01",21.6535666666667,"chrome 130.0.0","false","Windows 10",1366,607,"Automatic","Female",30,"High school",NA,FALSE,"White","United States",3,"Scoring high for heartrate is not surprising, I have high anxiety and it is always the first thing i notice before a panic attack.",0,4,1,6,6,0,5,6,0,5,3,4,5,6,5,4,5,5,6,5,6,3,1,5,3,5,4,5,4,0,3,5,6,6,0,6,6,5,5,0,6,0,1,6,0,6,6,0,6,3,1,1,1,0,5,3,3,2,3,1,5,6,1,2,4,0,5,4,6,4,6,6,3,0,4,0,6,0,3,3,0,0,6,5,5,1,6,6,5,6,4,6,1,3,3,5,1,5,4,3,2,5,5,5,4,3,6,4,5,4,5,6,2,4,4,6,5,6,1,0,6,6,6,5,3,4,3,3
"S149","prolific","Random","2024-11-19 13:30:41",13.5971666666667,"chrome 130.0.0","false","Windows 10",1920,945,"Automatic","Female",32,"Associates",NA,NA,"White","United States",3,NA,0,0,4,4,6,0,5,4,1,2,1,5,1,5,4,5,4,5,5,0,6,0,3,5,0,3,4,0,5,3,4,5,6,6,1,5,6,4,3,2,6,2,3,6,4,5,1,1,6,1,1,4,3,0,3,2,5,5,4,1,5,6,5,0,3,0,3,5,3,4,1,5,0,1,6,4,6,0,4,4,4,5,5,4,2,4,3,5,0,6,5,2,2,4,4,3,0,4,4,4,5,4,4,4,4,4,6,4,3,1,1,6,3,4,4,6,6,5,3,6,6,5,3,4,4,5,5,4
"S267","prolific","Dimensions","2024-11-19 20:31:49",11.7185333333333,"chrome 130.0.0","false","Chrome OS",1616,741,"Automatic","Female",26,"Master","Psychology, Neuroscience",FALSE,"White","United Kingdom",1,NA,0,5,6,2,5,0,2,5,2,5,0,4,0,6,5,3,4,3,5,4,6,0,0,2,3,6,6,1,6,3,2,2,6,3,0,5,1,1,1,1,3,0,2,3,3,1,4,0,5,3,1,1,3,0,5,4,6,4,1,2,5,6,2,1,2,4,3,2,5,5,1,5,1,0,4,4,3,0,1,5,4,0,3,4,3,2,3,1,2,6,2,4,4,3,2,0,4,2,3,3,4,4,3,4,2,3,6,0,4,4,6,3,1,0,3,3,2,4,2,4,3,3,3,4,4,2,2,3
"S508","prolific","Domains","2024-11-22 14:30:20",14.2514166666667,"chrome 131.0.0","false","Windows 10",1540,704,"Automatic","Male",44,"Bachelor","Business, Economics",FALSE,"White","United Kingdom",3,NA,0,2,3,5,5,0,3,4,2,3,2,5,3,4,5,2,5,3,5,2,3,4,3,6,1,2,5,4,4,1,3,4,6,6,3,6,2,5,5,3,5,1,4,6,1,5,3,0,5,4,0,0,0,0,5,0,6,6,4,0,3,6,3,3,2,2,4,3,2,4,2,4,2,1,5,3,4,0,2,2,1,3,4,3,4,3,4,1,2,6,3,1,3,3,2,1,5,3,5,2,2,2,4,1,1,2,6,1,1,2,2,5,2,1,5,2,3,4,2,4,5,2,3,4,1,1,4,3
"S087","prolific","Dimensions","2024-11-19 11:05:18",18.0417833333333,"edge-chromium 130.0.0","false","Windows 10",1912,954,"Automatic","Male",58,"High school",NA,FALSE,"White","United Kingdom",4,"none, but an interesting experiment ",0,1,4,4,5,0,4,4,1,1,1,3,2,4,2,4,5,5,4,2,5,1,4,6,0,1,2,1,4,0,2,4,6,4,1,4,2,2,3,2,5,1,2,4,0,4,2,1,5,4,0,0,1,0,5,1,1,5,4,0,5,6,2,3,2,0,2,4,3,0,4,5,1,1,3,1,3,0,2,2,0,2,4,3,1,1,5,3,4,6,4,0,1,2,3,2,1,3,4,4,4,3,4,3,2,4,6,5,2,2,4,4,5,3,4,1,3,4,4,5,4,3,3,3,1,3,4,2
"S184","prolific","Dimensions","2024-11-19 15:42:48",14.7984166666667,"edge-chromium 131.0.0","false","Windows 10",1528,738,"Automatic","Female",31,"Master","Biology, Chemistry, Physics",FALSE,"White","United Kingdom",3,NA,0,0,1,6,6,0,6,6,1,2,0,6,0,6,0,0,6,6,5,0,6,0,0,3,1,4,5,3,6,3,2,3,6,4,0,0,1,2,1,4,5,0,4,2,0,1,3,0,5,4,0,0,0,0,4,0,2,0,5,0,3,6,0,0,0,0,0,2,0,3,0,4,0,0,5,1,5,0,1,1,4,0,1,4,0,0,2,3,4,6,2,0,1,2,4,2,5,2,3,3,3,1,4,3,2,5,6,2,1,3,0,4,1,3,3,3,5,6,3,2,6,4,2,5,1,0,3,5
"S452","prolific","Domains","2024-11-21 16:56:17",20.6276166666667,"chrome 131.0.0","false","Windows 10",1366,641,"Automatic","Female",37,"Master","financial services",FALSE,"Prefer not to say","Ireland",NA,NA,0,0,0,6,6,0,6,6,5,0,4,3,5,6,0,0,6,6,3,0,6,0,3,6,0,0,6,0,6,0,4,4,6,4,0,4,0,4,4,4,6,0,4,4,0,4,0,0,6,6,0,0,0,0,4,0,6,4,6,0,6,6,5,0,0,0,5,0,0,3,0,5,0,0,6,5,5,0,4,5,5,5,6,5,5,5,6,1,5,6,5,3,0,5,5,1,0,5,5,5,5,1,6,5,4,5,6,5,4,5,0,5,0,1,4,5,3,3,0,6,5,5,6,5,1,0,5,2
"S006","prolific","Domains","2024-11-18 15:38:22",16.14055,"firefox 132.0.0","false","Windows 10",1366,681,"Automatic","Male",23,"Bachelor","Political Science, Law",TRUE,"Black","United States",4,NA,0,3,3,6,6,0,4,4,3,5,0,6,3,6,0,0,4,4,6,2,6,3,0,6,3,0,6,3,6,6,4,6,6,6,3,6,0,3,2,3,6,3,4,6,4,5,3,3,5,5,2,3,1,0,6,1,6,6,5,1,6,6,2,5,0,0,0,4,4,3,4,3,0,6,6,3,3,0,3,3,3,3,4,4,3,3,6,4,4,6,4,5,3,2,3,5,3,4,6,5,6,5,6,5,5,5,6,5,4,3,4,4,6,5,6,3,6,4,6,5,5,4,5,6,5,4,4,5
"S014","prolific","Domains","2024-11-18 20:38:27",10.6292833333333,"edge-chromium 130.0.0","false","Windows 10",1528,738,"Automatic","Female",33,"High school",NA,FALSE,"White","United Kingdom",NA,NA,0,0,0,5,6,0,4,5,0,5,4,1,6,4,0,4,6,5,0,6,5,0,6,5,3,0,4,6,6,0,3,3,6,6,0,6,3,5,5,4,5,0,6,5,0,4,0,0,6,5,0,0,5,0,4,0,3,5,6,0,4,6,5,2,2,1,2,0,4,6,4,4,0,0,3,0,6,0,0,5,3,0,4,6,6,4,2,2,4,6,4,4,0,0,3,3,0,3,0,4,4,0,4,4,3,4,6,3,2,6,0,4,0,2,0,3,1,0,0,2,6,3,4,5,0,4,4,0
"S010","prolific","Random","2024-11-18 20:10:57",20.1183666666667,"chrome 130.0.0","false","Windows 10",1280,551,"Automatic","Female",32,"Bachelor","Biology, Chemistry, Physics",FALSE,"Mixed","United Kingdom",3,NA,0,3,3,1,4,0,1,4,2,5,5,4,3,4,0,3,4,2,5,0,5,0,1,5,0,4,3,0,5,0,3,2,6,6,0,5,2,2,0,0,6,0,0,3,2,5,5,0,6,2,1,1,1,0,3,1,5,5,5,1,4,6,3,0,2,3,3,0,0,1,1,5,0,0,5,0,6,0,0,2,2,4,3,2,3,0,2,2,3,6,1,1,5,3,1,1,5,3,5,2,3,5,2,1,2,1,6,1,2,4,1,6,1,2,5,1,4,2,4,3,2,2,3,5,2,2,2,5
"S462","prolific","Random","2024-11-21 17:48:32",16.9736166666667,"samsung 27.0.0","true","Android OS",980,1919,"Automatic","Male",32,"Master","Sociology, Anthropology",FALSE,"White","Canada",3,NA,0,2,6,5,5,0,5,5,6,2,5,5,0,5,1,0,5,3,5,3,5,3,1,6,1,5,5,2,5,0,4,2,6,5,0,4,1,3,1,2,5,0,2,5,0,5,5,0,5,5,0,2,2,0,5,3,4,4,5,0,5,6,2,5,2,0,0,2,2,3,2,5,1,0,6,4,6,0,3,5,5,5,6,6,6,5,4,2,5,6,5,0,1,2,4,4,3,5,3,6,5,2,5,4,6,5,6,4,1,3,4,5,2,6,2,3,5,5,0,5,4,5,5,4,2,5,4,5
"S442","prolific","Random","2024-11-21 16:18:57",31.4907666666667,"chrome 124.0.0","false","Windows 10",1366,641,"Automatic","Male",33,"Master","Marketing",FALSE,"White","United Kingdom",4,NA,0,4,5,4,5,0,5,6,0,0,2,6,5,6,6,5,5,2,5,0,6,0,5,6,1,0,6,0,6,0,0,6,6,5,0,6,5,4,5,0,6,1,1,5,0,5,2,0,5,3,0,0,0,0,0,0,4,5,6,3,6,6,0,1,3,0,5,3,2,5,2,5,0,0,6,1,6,0,0,0,0,0,6,5,0,0,5,3,4,6,5,0,2,4,5,0,2,5,4,5,6,5,6,5,3,5,6,2,6,5,0,3,6,4,4,5,5,3,0,5,6,4,5,5,4,5,4,6
"S371","prolific","Domains","2024-11-20 18:48:44",15.0060333333333,"firefox 132.0.0","false","Windows 10",1368,779,"Automatic","Male",54,"Master","Business, Economics",FALSE,"White","Australia",2,NA,0,2,4,3,4,0,4,5,2,5,2,5,2,4,5,4,1,2,4,1,4,1,4,2,1,2,4,1,5,0,3,3,6,6,4,3,4,4,4,1,4,4,0,1,0,1,2,0,4,3,1,1,1,0,2,5,5,1,1,1,3,6,1,2,1,4,1,3,1,4,4,5,2,0,4,4,6,0,4,4,0,3,4,5,6,4,4,4,2,6,4,2,1,4,4,2,5,4,2,4,5,1,4,2,5,1,6,2,6,2,3,6,1,4,1,3,4,2,3,4,3,4,5,2,4,5,4,4
"S394","prolific","Dimensions","2024-11-21 12:04:09",8.72961666666667,"edge-chromium 129.0.0","false","Windows 10",1912,930,"Automatic","Female",26,"High school",NA,TRUE,"White","United Kingdom",2,NA,0,2,4,6,6,0,5,4,2,4,3,5,2,5,4,2,5,5,5,2,5,5,3,6,2,3,5,4,4,2,5,6,6,4,5,5,6,6,6,5,5,1,5,5,2,5,0,0,6,3,0,1,2,0,5,5,5,4,4,2,5,6,5,6,4,3,3,5,5,4,4,5,0,1,6,3,6,0,4,6,2,5,6,6,6,4,4,2,3,6,5,5,2,3,3,3,2,5,4,5,4,3,5,5,5,6,6,5,4,5,4,5,2,5,5,4,2,4,1,3,6,5,6,6,5,4,4,3
"S509","prolific","Dimensions","2024-11-22 15:54:32",7.52871666666667,"chrome 130.0.0","false","Mac OS",2211,1217,"Automatic","Female",32,"Doctorate","Psychology, Neuroscience",NA,"White","Australia",3,NA,0,0,0,0,6,0,0,6,0,0,0,3,5,6,0,0,4,3,5,0,6,0,0,4,0,0,6,0,6,4,2,2,6,6,3,6,6,5,6,0,2,6,0,5,3,2,4,0,6,6,0,0,0,0,6,0,6,6,0,0,6,6,6,1,1,0,0,0,0,0,1,6,0,0,6,0,6,0,4,6,3,6,6,6,6,6,2,6,3,6,4,0,0,2,0,0,6,6,4,3,6,6,4,0,3,0,6,1,6,6,6,6,0,0,4,0,6,6,6,2,6,0,6,0,6,6,0,6
